index,Test_Time,Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
31,3660.978876,60.8844,1,2,4.20007801055908,3660.978876,60.8844,1,2,3.25988864898682,3660.978876,60.8844,1,2,0.069120481610298,3660.978876,60.8844,1,2,6.17503895239402E-11
32,3781.001908,120.0063,1,3,4.24458980560303,3781.001908,120.0063,1,3,3.25993251800537,3781.001908,120.0063,1,3,0.177558839321136,3781.001908,120.0063,1,3,6.17503895239402E-11
33,3900.998808,240.0032,1,3,4.27369213104248,3900.998808,240.0032,1,3,3.25997066497803,3900.998808,240.0032,1,3,0.286242514848709,3900.998808,240.0032,1,3,6.17503895239402E-11
34,4020.998708,360.0031,1,3,4.30613708496094,4020.998708,360.0031,1,3,3.2599458694458,4020.998708,360.0031,1,3,0.394920200109482,4020.998708,360.0031,1,3,6.17503895239402E-11
35,4140.999908,480.0043,1,3,4.33466148376465,4140.999908,480.0043,1,3,3.25996112823486,4140.999908,480.0043,1,3,0.503570795059204,4140.999908,480.0043,1,3,6.17503895239402E-11
36,4261.000808,600.0052,1,3,4.35952281951904,4261.000808,600.0052,1,3,3.26007556915283,4261.000808,600.0052,1,3,0.612248241901398,4261.000808,600.0052,1,3,6.17503895239402E-11
37,4380.998908,720.0033,1,3,4.38289451599121,4380.998908,720.0033,1,3,3.25999546051025,4380.998908,720.0033,1,3,0.720890581607819,4380.998908,720.0033,1,3,6.17503895239402E-11
38,4500.997008,840.0014,1,3,4.39999771118164,4500.997008,840.0014,1,3,3.18841648101807,4500.997008,840.0014,1,3,0.828293383121491,4500.997008,840.0014,1,3,6.17503895239402E-11
39,4620.999308,960.0037,1,3,4.39991760253906,4620.999308,960.0037,1,3,2.98037815093994,4620.999308,960.0037,1,3,0.931065559387207,4620.999308,960.0037,1,3,6.17503895239402E-11
40,4740.996508,1080.0009,1,3,4.39994716644287,4740.996508,1080.0009,1,3,2.78078365325928,4740.996508,1080.0009,1,3,1.02705538272858,4740.996508,1080.0009,1,3,6.17503895239402E-11
41,4860.998408,1200.0028,1,3,4.39999866485596,4860.998408,1200.0028,1,3,2.60485363006592,4860.998408,1200.0028,1,3,1.11676979064941,4860.998408,1200.0028,1,3,6.17503895239402E-11
42,4980.996008,1320.0004,1,3,4.39998722076416,4980.996008,1320.0004,1,3,2.44713306427002,4980.996008,1320.0004,1,3,1.20088720321655,4980.996008,1320.0004,1,3,6.17503895239402E-11
43,5100.995708,1440.0001,1,3,4.40005970001221,5100.995708,1440.0001,1,3,2.31201839447021,5100.995708,1440.0001,1,3,1.28017175197601,5100.995708,1440.0001,1,3,6.17503895239402E-11
44,5220.998408,1560.0028,1,3,4.39999389648438,5220.998408,1560.0028,1,3,2.19172954559326,5220.998408,1560.0028,1,3,1.35517799854279,5220.998408,1560.0028,1,3,6.17503895239402E-11
45,5341.002008,1680.0064,1,3,4.40006446838379,5341.002008,1680.0064,1,3,2.08395671844482,5341.002008,1680.0064,1,3,1.42643475532532,5341.002008,1680.0064,1,3,6.17503895239402E-11
46,5460.997208,1800.0016,1,3,4.39996719360352,5460.997208,1800.0016,1,3,1.98777866363525,5460.997208,1800.0016,1,3,1.49426710605621,5460.997208,1800.0016,1,3,6.17503895239402E-11
47,5580.999208,1920.0036,1,3,4.40007781982422,5580.999208,1920.0036,1,3,1.90103054046631,5580.999208,1920.0036,1,3,1.55902099609375,5580.999208,1920.0036,1,3,6.17503895239402E-11
48,5701.002708,2040.0071,1,3,4.40004253387451,5701.002708,2040.0071,1,3,1.82176876068115,5701.002708,2040.0071,1,3,1.62108504772186,5701.002708,2040.0071,1,3,6.17503895239402E-11
49,5821.002508,2160.0069,1,3,4.39995861053467,5821.002508,2160.0069,1,3,1.74924087524414,5821.002508,2160.0069,1,3,1.68057978153229,5821.002508,2160.0069,1,3,6.17503895239402E-11
50,5940.996308,2280.0007,1,3,4.39998435974121,5940.996308,2280.0007,1,3,1.68093204498291,5940.996308,2280.0007,1,3,1.7377427816391,5940.996308,2280.0007,1,3,6.17503895239402E-11
51,6061.001008,2400.0054,1,3,4.40001773834229,6061.001008,2400.0054,1,3,1.61736583709717,6061.001008,2400.0054,1,3,1.79270493984222,6061.001008,2400.0054,1,3,6.17503895239402E-11
52,6180.996208,2520.0006,1,3,4.40004825592041,6180.996208,2520.0006,1,3,1.55707454681396,6180.996208,2520.0006,1,3,1.84560251235962,6180.996208,2520.0006,1,3,6.17503895239402E-11
53,6300.996108,2640.0005,1,3,4.40003204345703,6300.996108,2640.0005,1,3,1.4989538192749,6300.996108,2640.0005,1,3,1.89652621746063,6300.996108,2640.0005,1,3,6.17503895239402E-11
54,6420.995608,2760,1,3,4.39999866485596,6420.995608,2760,1,3,1.44393348693848,6420.995608,2760,1,3,1.94555020332336,6420.995608,2760,1,3,6.17503895239402E-11
55,6540.997608,2880.002,1,3,4.4000244140625,6540.997608,2880.002,1,3,1.3909330368042,6540.997608,2880.002,1,3,1.99277102947235,6540.997608,2880.002,1,3,6.17503895239402E-11
56,6661.000108,3000.0045,1,3,4.39999294281006,6661.000108,3000.0045,1,3,1.3400707244873,6661.000108,3000.0045,1,3,2.03830933570862,6661.000108,3000.0045,1,3,6.17503895239402E-11
57,6780.997908,3120.0023,1,3,4.40002918243408,6780.997908,3120.0023,1,3,1.2912483215332,6780.997908,3120.0023,1,3,2.08213663101196,6780.997908,3120.0023,1,3,6.17503895239402E-11
58,6901.001408,3240.0058,1,3,4.39997005462647,6901.001408,3240.0058,1,3,1.24197959899902,6901.001408,3240.0058,1,3,2.12436246871948,6901.001408,3240.0058,1,3,6.17503895239402E-11
59,7020.996308,3360.0007,1,3,4.39999771118164,7020.996308,3360.0007,1,3,1.19434928894043,7020.996308,3360.0007,1,3,2.16496562957764,7020.996308,3360.0007,1,3,6.17503895239402E-11
60,7141.002708,3480.0071,1,3,4.39998054504395,7141.002708,3480.0071,1,3,1.1472806930542,7141.002708,3480.0071,1,3,2.20399928092957,7141.002708,3480.0071,1,3,6.17503895239402E-11
61,7260.998608,3600.003,1,3,4.39997005462647,7260.998608,3600.003,1,3,1.10198211669922,7260.998608,3600.003,1,3,2.24148869514465,7260.998608,3600.003,1,3,6.17503895239402E-11
62,7381.001808,3720.0062,1,3,4.39996719360352,7381.001808,3720.0062,1,3,1.05760860443115,7381.001808,3720.0062,1,3,2.2774658203125,7381.001808,3720.0062,1,3,6.17503895239402E-11
63,7501.000508,3840.0049,1,3,4.39995002746582,7501.000508,3840.0049,1,3,1.01304340362549,7501.000508,3840.0049,1,3,2.31199550628662,7501.000508,3840.0049,1,3,6.17503895239402E-11
64,7621.000608,3960.005,1,3,4.39993476867676,7621.000608,3960.005,1,3,0.97096061706543,7621.000608,3960.005,1,3,2.34504747390747,7621.000608,3960.005,1,3,6.17503895239402E-11
65,7741.000508,4080.0049,1,3,4.39999485015869,7741.000508,4080.0049,1,3,0.929850578308106,7741.000508,4080.0049,1,3,2.37673783302307,7741.000508,4080.0049,1,3,6.17503895239402E-11
66,7860.999708,4200.0041,1,3,4.40002727508545,7860.999708,4200.0041,1,3,0.890954971313477,7860.999708,4200.0041,1,3,2.40709114074707,7860.999708,4200.0041,1,3,6.17503895239402E-11
67,7981.001308,4320.0057,1,3,4.40002059936523,7981.001308,4320.0057,1,3,0.852486610412598,7981.001308,4320.0057,1,3,2.43614220619202,7981.001308,4320.0057,1,3,6.17503895239402E-11
68,8100.996008,4440.0004,1,3,4.40003204345703,8100.996008,4440.0004,1,3,0.815265655517578,8100.996008,4440.0004,1,3,2.46395182609558,8100.996008,4440.0004,1,3,6.17503895239402E-11
69,8220.997908,4560.0023,1,3,4.40008449554443,8220.997908,4560.0023,1,3,0.779061317443848,8220.997908,4560.0023,1,3,2.49051856994629,8220.997908,4560.0023,1,3,6.17503895239402E-11
70,8341.000408,4680.0048,1,3,4.3999137878418,8341.000408,4680.0048,1,3,0.744331359863281,8341.000408,4680.0048,1,3,2.51590847969055,8341.000408,4680.0048,1,3,6.17503895239402E-11
71,8460.999008,4800.0034,1,3,4.39998912811279,8460.999008,4800.0034,1,3,0.710476875305176,8460.999008,4800.0034,1,3,2.54015064239502,8460.999008,4800.0034,1,3,6.17503895239402E-11
72,8580.996508,4920.0009,1,3,4.39999580383301,8580.996508,4920.0009,1,3,0.677505493164063,8580.996508,4920.0009,1,3,2.56328368186951,8580.996508,4920.0009,1,3,6.17503895239402E-11
73,8678.296008,5017.3004,1,3,4.39987182617188,8678.296008,5017.3004,1,3,0.651996612548828,8678.296008,5017.3004,1,3,2.58124995231628,8678.296008,5017.3004,1,3,6.17503895239402E-11
74,8798.346228,120.0013,1,4,4.27159118652344,8798.346228,120.0013,1,4,0,8798.346228,120.0013,1,4,2.58125066757202,8798.346228,120.0013,1,4,6.17503895239402E-11
75,8918.349328,240.0044,1,4,4.25771236419678,8918.349328,240.0044,1,4,0,8918.349328,240.0044,1,4,2.58125066757202,8918.349328,240.0044,1,4,6.17503895239402E-11
76,8978.348928,300.004,1,4,4.25395393371582,8978.348928,300.004,1,4,0,8978.348928,300.004,1,4,2.58125066757202,8978.348928,300.004,1,4,6.17503895239402E-11
77,9098.441368,120.003,1,5,3.85482215881348,9098.441368,120.003,1,5,-2.28204345703125,9098.441368,120.003,1,5,2.58125066757202,9098.441368,120.003,1,5,0.076034814119339
78,9218.440768,240.0024,1,5,3.80216121673584,9218.440768,240.0024,1,5,-2.28202533721924,9218.440768,240.0024,1,5,2.58125066757202,9218.440768,240.0024,1,5,0.152133360505104
79,9338.438968,360.0006,1,5,3.76095676422119,9338.438968,360.0006,1,5,-2.28205585479736,9338.438968,360.0006,1,5,2.58125066757202,9338.438968,360.0006,1,5,0.228195071220398
80,9458.439668,480.0013,1,5,3.72306537628174,9458.439668,480.0013,1,5,-2.28205871582031,9458.439668,480.0013,1,5,2.58125066757202,9458.439668,480.0013,1,5,0.304229527711868
81,9578.440668,600.0023,1,5,3.68737697601318,9578.440668,600.0023,1,5,-2.2821216583252,9578.440668,600.0023,1,5,2.58125066757202,9578.440668,600.0023,1,5,0.380338042974472
82,9698.439468,720.0011,1,5,3.6541633605957,9698.439468,720.0011,1,5,-2.28202533721924,9698.439468,720.0011,1,5,2.58125066757202,9698.439468,720.0011,1,5,0.456393659114838
83,9818.442368,840.004,1,5,3.62299919128418,9818.442368,840.004,1,5,-2.28203201293945,9818.442368,840.004,1,5,2.58125066757202,9818.442368,840.004,1,5,0.532448351383209
84,9938.442868,960.0045,1,5,3.59444808959961,9938.442868,960.0045,1,5,-2.28205680847168,9938.442868,960.0045,1,5,2.58125066757202,9938.442868,960.0045,1,5,0.608518481254578
85,10058.441268,1080.0029,1,5,3.56744194030762,10058.441268,1080.0029,1,5,-2.28207397460937,10058.441268,1080.0029,1,5,2.58125066757202,10058.441268,1080.0029,1,5,0.684615850448608
86,10178.439968,1200.0016,1,5,3.54216766357422,10178.439968,1200.0016,1,5,-2.28206729888916,10178.439968,1200.0016,1,5,2.58125066757202,10178.439968,1200.0016,1,5,0.760688900947571
87,10298.441768,1320.0034,1,5,3.51821422576904,10298.441768,1320.0034,1,5,-2.28203201293945,10298.441768,1320.0034,1,5,2.58125066757202,10298.441768,1320.0034,1,5,0.836744964122772
88,10418.442668,1440.0043,1,5,3.495285987854,10418.442668,1440.0043,1,5,-2.28203392028809,10418.442668,1440.0043,1,5,2.58125066757202,10418.442668,1440.0043,1,5,0.912824630737305
89,10538.440068,1560.0017,1,5,3.47374629974365,10538.440068,1560.0017,1,5,-2.28201961517334,10538.440068,1560.0017,1,5,2.58125066757202,10538.440068,1560.0017,1,5,0.988898277282715
90,10658.439768,1680.0014,1,5,3.45343589782715,10658.439768,1680.0014,1,5,-2.2820348739624,10658.439768,1680.0014,1,5,2.58125066757202,10658.439768,1680.0014,1,5,1.06495320796967
91,10778.441868,1800.0035,1,5,3.43389225006104,10778.441868,1800.0035,1,5,-2.28207397460937,10778.441868,1800.0035,1,5,2.58125066757202,10778.441868,1800.0035,1,5,1.14101147651672
92,10898.441168,1920.0028,1,5,3.4150857925415,10898.441168,1920.0028,1,5,-2.28210830688477,10898.441168,1920.0028,1,5,2.58125066757202,10898.441168,1920.0028,1,5,1.21710538864136
93,11018.439368,2040.001,1,5,3.39767265319824,11018.439368,2040.001,1,5,-2.28201007843018,11018.439368,2040.001,1,5,2.58125066757202,11018.439368,2040.001,1,5,1.29316759109497
94,11138.439568,2160.0012,1,5,3.38055896759033,11138.439568,2160.0012,1,5,-2.28211307525635,11138.439568,2160.0012,1,5,2.58125066757202,11138.439568,2160.0012,1,5,1.36920118331909
95,11258.442168,2280.0038,1,5,3.36339282989502,11258.442168,2280.0038,1,5,-2.28208255767822,11258.442168,2280.0038,1,5,2.58125066757202,11258.442168,2280.0038,1,5,1.4453033208847
96,11378.438768,2400.0004,1,5,3.34628772735596,11378.438768,2400.0004,1,5,-2.28213310241699,11378.438768,2400.0004,1,5,2.58125066757202,11378.438768,2400.0004,1,5,1.52136862277985
97,11498.438968,2520.0006,1,5,3.32895183563232,11498.438968,2520.0006,1,5,-2.28213024139404,11498.438968,2520.0006,1,5,2.58125066757202,11498.438968,2520.0006,1,5,1.59744548797607
98,11618.439168,2640.0008,1,5,3.31061840057373,11618.439168,2640.0008,1,5,-2.28213500976562,11618.439168,2640.0008,1,5,2.58125066757202,11618.439168,2640.0008,1,5,1.67350745201111
99,11738.443768,2760.0054,1,5,3.29111099243164,11738.443768,2760.0054,1,5,-2.28201675415039,11738.443768,2760.0054,1,5,2.58125066757202,11738.443768,2760.0054,1,5,1.74959194660187
100,11858.443368,2880.005,1,5,3.26954555511475,11858.443368,2880.005,1,5,-2.28182983398437,11858.443368,2880.005,1,5,2.58125066757202,11858.443368,2880.005,1,5,1.82562363147736
101,11978.442568,3000.0042,1,5,3.24675941467285,11978.442568,3000.0042,1,5,-2.28213691711426,11978.442568,3000.0042,1,5,2.58125066757202,11978.442568,3000.0042,1,5,1.90171194076538
102,12098.442068,3120.0037,1,5,3.2205114364624,12098.442068,3120.0037,1,5,-2.28214359283447,12098.442068,3120.0037,1,5,2.58125066757202,12098.442068,3120.0037,1,5,1.97777426242828
103,12218.441368,3240.003,1,5,3.19016075134277,12218.441368,3240.003,1,5,-2.28209972381592,12218.441368,3240.003,1,5,2.58125066757202,12218.441368,3240.003,1,5,2.05384707450867
104,12338.440168,3360.0018,1,5,3.15529537200928,12338.440168,3360.0018,1,5,-2.28205680847168,12338.440168,3360.0018,1,5,2.58125066757202,12338.440168,3360.0018,1,5,2.1298999786377
105,12458.440068,3480.0017,1,5,3.11386203765869,12458.440068,3480.0017,1,5,-2.28204345703125,12458.440068,3480.0017,1,5,2.58125066757202,12458.440068,3480.0017,1,5,2.20598697662354
106,12578.440368,3600.002,1,5,3.06318092346191,12578.440368,3600.002,1,5,-2.28206920623779,12578.440368,3600.002,1,5,2.58125066757202,12578.440368,3600.002,1,5,2.28201842308044
107,12698.438768,3720.0004,1,5,3.0007905960083,12698.438768,3720.0004,1,5,-2.28210163116455,12698.438768,3720.0004,1,5,2.58125066757202,12698.438768,3720.0004,1,5,2.35814309120178
108,12699.775968,3721.3376,1,5,2.99999332427979,12699.775968,3721.3376,1,5,-2.28215217590332,12699.775968,3721.3376,1,5,2.58125066757202,12699.775968,3721.3376,1,5,2.35899233818054
109,12819.922856,120.0001,1,6,3.65085983276367,12819.922856,120.0001,1,6,0,12819.922856,120.0001,1,6,2.58125066757202,12819.922856,120.0001,1,6,2.35903096199036
110,12939.926456,240.0037,1,6,3.67684364318848,12939.926456,240.0037,1,6,0,12939.926456,240.0037,1,6,2.58125066757202,12939.926456,240.0037,1,6,2.35903096199036
111,12999.925456,300.0027,1,6,3.68242168426514,12999.925456,300.0027,1,6,0,12999.925456,300.0027,1,6,2.58125066757202,12999.925456,300.0027,1,6,2.35903096199036
112,13108.620764,108.5978,2,2,4.19999122619629,13108.620764,108.5978,2,2,3.25999927520752,13108.620764,108.5978,2,2,0.114116787910461,13108.620764,108.5978,2,2,0
113,13228.636372,120.0005,2,3,4.23735332489014,13228.636372,120.0005,2,3,3.25997066497803,13228.636372,120.0005,2,3,0.222606852650642,13228.636372,120.0005,2,3,0
114,13348.637772,240.0019,2,3,4.26598930358887,13348.637772,240.0019,2,3,3.2599458694458,13348.637772,240.0019,2,3,0.331264615058899,13348.637772,240.0019,2,3,0
115,13468.641972,360.0061,2,3,4.29033470153809,13468.641972,360.0061,2,3,3.25994205474854,13468.641972,360.0061,2,3,0.439938813447952,13468.641972,360.0061,2,3,0
116,13588.636872,480.001,2,3,4.31333923339844,13588.636872,480.001,2,3,3.26001262664795,13588.636872,480.001,2,3,0.548600196838379,13588.636872,480.001,2,3,0
117,13708.641672,600.0058,2,3,4.34143352508545,13708.641672,600.0058,2,3,3.25989818572998,13708.641672,600.0058,2,3,0.65727710723877,13708.641672,600.0058,2,3,0
118,13828.640472,720.0046,2,3,4.37124156951904,13828.640472,720.0046,2,3,3.26001834869385,13828.640472,720.0046,2,3,0.765918731689453,13828.640472,720.0046,2,3,0
119,13948.637972,840.0021,2,3,4.40004539489746,13948.637972,840.0021,2,3,3.21187114715576,13948.637972,840.0021,2,3,0.874480545520783,13948.637972,840.0021,2,3,0
120,14068.640072,960.0042,2,3,4.39997673034668,14068.640072,960.0042,2,3,2.93216228485107,14068.640072,960.0042,2,3,0.976583778858185,14068.640072,960.0042,2,3,0
121,14188.640972,1080.0051,2,3,4.39995765686035,14188.640972,1080.0051,2,3,2.69778156280518,14188.640972,1080.0051,2,3,1.07041478157043,14188.640972,1080.0051,2,3,0
122,14308.642372,1200.0065,2,3,4.39999675750732,14308.642372,1200.0065,2,3,2.50282001495361,14308.642372,1200.0065,2,3,1.15703213214874,14308.642372,1200.0065,2,3,0
123,14428.638072,1320.0022,2,3,4.40001487731934,14428.638072,1320.0022,2,3,2.33474063873291,14428.638072,1320.0022,2,3,1.23757708072662,14428.638072,1320.0022,2,3,0
124,14548.638572,1440.0027,2,3,4.39998722076416,14548.638572,1440.0027,2,3,2.19448184967041,14548.638572,1440.0027,2,3,1.31301951408386,14548.638572,1440.0027,2,3,0
125,14668.639872,1560.004,2,3,4.39996910095215,14668.639872,1560.004,2,3,2.06975078582764,14668.639872,1560.004,2,3,1.38405406475067,14668.639872,1560.004,2,3,0
126,14788.638172,1680.0023,2,3,4.40004825592041,14788.638172,1680.0023,2,3,1.96055889129639,14788.638172,1680.0023,2,3,1.45119225978851,14788.638172,1680.0023,2,3,0
127,14908.636772,1800.0009,2,3,4.40000438690186,14908.636772,1800.0009,2,3,1.86391544342041,14908.636772,1800.0009,2,3,1.51486325263977,14908.636772,1800.0009,2,3,0
128,15028.641972,1920.0061,2,3,4.40002059936523,15028.641972,1920.0061,2,3,1.77673244476318,15028.641972,1920.0061,2,3,1.57559382915497,15028.641972,1920.0061,2,3,0
129,15148.640172,2040.0043,2,3,4.39998531341553,15148.640172,2040.0043,2,3,1.69601058959961,15148.640172,2040.0043,2,3,1.63346612453461,15148.640172,2040.0043,2,3,0
130,15268.637772,2160.0019,2,3,4.39997005462647,15268.637772,2160.0019,2,3,1.62008953094482,15268.637772,2160.0019,2,3,1.68872475624084,15268.637772,2160.0019,2,3,0
131,15388.642272,2280.0064,2,3,4.399977684021,15388.642272,2280.0064,2,3,1.55040454864502,15388.642272,2280.0064,2,3,1.7415463924408,15388.642272,2280.0064,2,3,0
132,15508.642472,2400.0066,2,3,4.39997673034668,15508.642472,2400.0066,2,3,1.48618125915527,15508.642472,2400.0066,2,3,1.79214680194855,15508.642472,2400.0066,2,3,0
133,15628.636372,2520.0005,2,3,4.40000343322754,15628.636372,2520.0005,2,3,1.42439460754395,15628.636372,2520.0005,2,3,1.84062492847443,15628.636372,2520.0005,2,3,0
134,15748.636272,2640.0004,2,3,4.39999198913574,15748.636272,2640.0004,2,3,1.36600303649902,15748.636272,2640.0004,2,3,1.88712251186371,15748.636272,2640.0004,2,3,0
135,15868.641772,2760.0059,2,3,4.39993381500244,15868.641772,2760.0059,2,3,1.30852890014648,15868.641772,2760.0059,2,3,1.93170535564423,15868.641772,2760.0059,2,3,0
136,15988.638072,2880.0022,2,3,4.39995288848877,15988.638072,2880.0022,2,3,1.25313186645508,15988.638072,2880.0022,2,3,1.97439849376678,15988.638072,2880.0022,2,3,0
137,16108.642272,3000.0064,2,3,4.39999485015869,16108.642272,3000.0064,2,3,1.1995964050293,16108.642272,3000.0064,2,3,2.01526761054993,16108.642272,3000.0064,2,3,0
138,16228.636772,3120.0009,2,3,4.39999771118164,16228.636772,3120.0009,2,3,1.14743518829346,16228.636772,3120.0009,2,3,2.05439114570618,16228.636772,3120.0009,2,3,0
139,16348.641172,3240.0053,2,3,4.39990139007568,16348.641172,3240.0053,2,3,1.09634017944336,16348.641172,3240.0053,2,3,2.0917637348175,16348.641172,3240.0053,2,3,0
140,16468.637672,3360.0018,2,3,4.39997863769531,16468.637672,3360.0018,2,3,1.04634666442871,16468.637672,3360.0018,2,3,2.12747001647949,16468.637672,3360.0018,2,3,0
141,16588.640672,3480.0048,2,3,4.39993381500244,16588.640672,3480.0048,2,3,0.996989250183106,16588.640672,3480.0048,2,3,2.16153335571289,16588.640672,3480.0048,2,3,0
142,16708.642672,3600.0068,2,3,4.40002059936523,16708.642672,3600.0068,2,3,0.949505805969238,16708.642672,3600.0068,2,3,2.1939742565155,16708.642672,3600.0068,2,3,0
143,16828.642572,3720.0067,2,3,4.39998149871826,16828.642572,3720.0067,2,3,0.904519081115723,16828.642572,3720.0067,2,3,2.22486567497253,16828.642572,3720.0067,2,3,0
144,16948.643872,3840.008,2,3,4.40002632141113,16948.643872,3840.008,2,3,0.861081123352051,16948.643872,3840.008,2,3,2.25428867340088,16948.643872,3840.008,2,3,0
145,17068.642172,3960.0063,2,3,4.39999198913574,17068.642172,3960.0063,2,3,0.819039344787598,17068.642172,3960.0063,2,3,2.28229999542236,17068.642172,3960.0063,2,3,0
146,17188.635972,4080.0001,2,3,4.40008735656738,17188.635972,4080.0001,2,3,0.778903961181641,17188.635972,4080.0001,2,3,2.30894637107849,17188.635972,4080.0001,2,3,0
147,17308.639572,4200.0037,2,3,4.39997577667236,17308.639572,4200.0037,2,3,0.740852355957031,17308.639572,4200.0037,2,3,2.3342752456665,17308.639572,4200.0037,2,3,0
148,17428.635972,4320.0001,2,3,4.39995002746582,17428.635972,4320.0001,2,3,0.705728530883789,17428.635972,4320.0001,2,3,2.35837864875793,17428.635972,4320.0001,2,3,0
